X,Open,High,Low,Close,X1,X2,X3,X4,X5,X6,X7
1609459200.0,736.42000000,749.00000000,714.29000000,728.91000000,675114.09329000,1609545599999,496072043.77740740,483671,338988.53158000,249240373.93868390,0
1609545600.0,728.91000000,787.69000000,714.91000000,774.56000000,1352618.57668000,1609631999999,1024472182.61208700,824134,686674.73342000,519915827.01148550,0
1609632000.0,774.44000000,1011.07000000,768.71000000,978.28000000,2813603.88615000,1609718399999,2522411859.73160970,1636501,1439027.79886000,1290266275.59314880,0
1609718400.0,978.33000000,1162.97000000,890.00000000,1041.43000000,4245010.94004000,1609804799999,4303634203.21959870,2477862,2126337.67210000,2157639019.32919130,0
1609804800.0,1041.45000000,1134.60000000,974.45000000,1099.56000000,2706995.67525000,1609891199999,2857050280.00814230,1960503,1337641.02794000,1412551452.85355810,0
1609891200.0,1100.16000000,1213.00000000,1057.26000000,1208.42000000,2390136.59334000,1609977599999,2725262121.28851310,1600888,1227955.88850000,1401239480.53057930,0
1609977600.0,1208.75000000,1289.00000000,1131.00000000,1224.87000000,1972922.82059000,1610063999999,2406219891.36853430,1402699,974726.97516000,1189746026.15138440,0
1610064000.0,1224.86000000,1273.75000000,1065.00000000,1216.93000000,2131172.92341000,1610150399999,2543427452.58012550,1718817,1042889.10509000,1246619297.41983940,0
1610150400.0,1216.72000000,1304.37000000,1171.36000000,1276.00000000,1448871.11514000,1610236799999,1780137376.41646950,1131871,746369.69680000,918333130.76833010,0
1610236800.0,1276.00000000,1348.33000000,1170.00000000,1254.25000000,1951179.35003000,1610323199999,2517791852.40776210,1437486,979792.30536000,1266203575.09528690,0
1610323200.0,1254.24000000,1260.00000000,915.00000000,1087.01000000,4068784.65678000,1610409599999,4290593989.58017690,2557613,1966216.19764000,2073558269.94001260,0
1610409600.0,1087.00000000,1150.02000000,1006.33000000,1050.16000000,2302645.34052000,1610495999999,2491067092.51012720,1516625,1149858.00491000,1244662146.28528080,0
1610496000.0,1050.36000000,1137.65000000,987.48000000,1129.89000000,1564202.39081000,1610582399999,1664178969.07380440,1123983,792814.80569000,844656818.22553690,0
1610582400.0,1129.79000000,1247.55000000,1086.70000000,1231.62000000,1555737.38556000,1610668799999,1825860914.17379550,1255769,794405.96443000,932454704.10136900,0
1610668800.0,1231.89000000,1256.98000000,1069.42000000,1168.53000000,1944038.83738000,1610755199999,2302781118.95873940,1519266,966118.73281000,1145518024.49123220,0
1610755200.0,1168.48000000,1298.00000000,1151.77000000,1227.83000000,1575384.43797000,1610841599999,1927453174.61179310,1252473,804431.16803000,984555467.09145990,0
1610841600.0,1227.83000000,1269.02000000,1165.00000000,1232.45000000,1317285.00579000,1610927999999,1606424364.49704180,1121278,665250.50449000,811881943.45552540,0
1610928000.0,1232.50000000,1260.75000000,1182.58000000,1258.45000000,998050.11073000,1611014399999,1223628040.73726070,940604,499759.24002000,613148505.56560630,0
1611014400.0,1258.52000000,1438.30000000,1251.49000000,1365.36000000,2278852.55758000,1611100799999,3120980923.93030880,1840481,1158029.40293000,1585793803.66076070,0
1611100800.0,1365.36000000,1407.93000000,1235.42000000,1376.99000000,2219137.62144000,1611187199999,2931656296.46700050,1852253,1103381.08760000,1459031149.78985600,0
1611187200.0,1376.72000000,1390.00000000,1086.00000000,1110.96000000,2254164.80365000,1611273599999,2787012514.78097050,1823458,1088341.96818000,1346852630.20308530,0
1611273600.0,1111.98000000,1273.79000000,1042.31000000,1232.62000000,2020593.21673000,1611359999999,2360267831.31755460,1652010,1036188.85921000,1212076603.47097220,0
1611360000.0,1232.61000000,1272.44000000,1195.90000000,1233.60000000,1009545.08258000,1611446399999,1250575691.76273060,932871,505750.89704000,626781286.58099590,0
1611446400.0,1233.46000000,1398.83000000,1220.00000000,1392.51000000,1510879.53817000,1611532799999,1996765627.54051920,1313986,790374.50924000,1045052388.63841560,0
1611532800.0,1392.19000000,1475.00000000,1293.69000000,1317.88000000,1885441.31289000,1611619199999,2644267236.89718770,1661512,943347.25829000,1324815913.98590850,0
1611619200.0,1317.60000000,1378.49000000,1244.56000000,1365.97000000,1682923.65799000,1611705599999,2216751668.39271260,1423178,856659.30135000,1128968367.85389060,0
1611705600.0,1366.54000000,1373.90000000,1207.00000000,1239.03000000,2009772.08358000,1611791999999,2554649901.07484460,1737296,997748.24567000,1268777717.49710370,0
1611792000.0,1238.93000000,1360.00000000,1217.23000000,1329.69000000,1365269.71962000,1611878399999,1790490878.19379420,1275024,702526.23919000,922191761.36835110,0
1611878400.0,1329.44000000,1436.90000000,1285.35000000,1379.50000000,2253963.18682000,1611964799999,3077996801.23176560,1714076,1126572.38403000,1539947796.20749350,0
1611964800.0,1379.56000000,1406.00000000,1326.41000000,1378.05000000,1040042.23630000,1612051199999,1414231402.54388340,1013174,508185.46266000,691043000.99942650,0
1612051200.0,1378.04000000,1380.74000000,1281.12000000,1312.55000000,958704.85571000,1612137599999,1276842259.97134880,828176,448756.56134000,597602925.78056310,0
1612137600.0,1312.45000000,1377.99000000,1269.99000000,1374.17000000,1096397.91862000,1612223999999,1449463766.72379510,915584,550007.37258000,727808340.67551960,0
1612224000.0,1374.09000000,1547.90000000,1360.28000000,1511.87000000,1944227.99878000,1612310399999,2821617332.39978510,1614541,986022.09176000,1431300798.43024110,0
1612310400.0,1511.93000000,1669.35000000,1508.39000000,1664.49000000,1535869.88801000,1612396799999,2418887041.58756150,1384979,793334.97198000,1249029451.14196070,0
1612396800.0,1664.67000000,1695.20000000,1554.44000000,1595.67000000,1646502.32962000,1612483199999,2693099602.27560810,1507993,825236.64834000,1350478681.24540390,0
1612483200.0,1595.53000000,1760.49000000,1591.00000000,1719.19000000,1194123.29946000,1612569599999,2011685911.16688670,1326415,600948.63761000,1012301493.08615330,0
1612569600.0,1718.95000000,1743.67000000,1642.94000000,1676.35000000,1149808.33101000,1612655999999,1940057857.94389820,1152167,565703.52545000,954941828.40177990,0
1612656000.0,1676.35000000,1693.00000000,1490.46000000,1611.62000000,1281734.86814000,1612742399999,2044371589.02327640,1263737,618789.69751000,987284129.73539090,0
1612742400.0,1611.46000000,1775.57000000,1563.89000000,1750.15000000,1339777.09536000,1612828799999,2255426926.01997780,1372788,677614.29512000,1141288384.54742980,0
1612828800.0,1749.68000000,1821.88000000,1708.49000000,1769.13000000,1185071.89593000,1612915199999,2080818891.69890500,1173421,593423.36868000,1042666171.18075090,0
1612915200.0,1769.14000000,1837.86000000,1680.00000000,1740.78000000,1219932.25474000,1613001599999,2149076144.40765770,1279140,605462.91818000,1067949000.52371340,0
1613001600.0,1740.76000000,1819.00000000,1703.44000000,1785.62000000,735079.82699000,1613087999999,1301681871.56326880,935602,367056.14118000,650153645.44318730,0
1613088000.0,1785.83000000,1864.88000000,1739.88000000,1840.26000000,909600.20653000,1613174399999,1635426867.77409270,996495,460779.83709000,829217927.34420890,0
1613174400.0,1840.24000000,1871.72000000,1765.00000000,1814.96000000,767589.07285000,1613260799999,1395594093.28399760,853189,372008.25141000,676531918.54325300,0
1613260800.0,1815.25000000,1850.00000000,1784.11000000,1800.42000000,675261.77873000,1613347199999,1230043295.03428380,714827,334005.33344000,608556979.10253330,0
1613347200.0,1800.03000000,1835.72000000,1655.67000000,1779.25000000,1053474.57879000,1613433599999,1860338371.89740780,1086589,511771.37271000,904087834.75423730,0
1613433600.0,1779.33000000,1827.28000000,1724.00000000,1781.99000000,817493.47513000,1613519999999,1455884891.92438010,826125,389395.78700000,693804838.74920430,0
1613520000.0,1781.99000000,1855.00000000,1733.01000000,1849.88000000,795711.63311000,1613606399999,1437546812.97183170,862461,412387.45021000,745568293.76172300,0
1613606400.0,1849.70000000,1950.50000000,1849.69000000,1939.61000000,937227.10191000,1613692799999,1787383532.10237610,1053661,493607.02549000,941541216.78113600,0
